cell_id,elevation,corine_landuse,temperature,precipitation,population,soil_class
46f230bc,0.0,523,0.0,0.0,0.0,21.0
46f23094,0.0,523,0.0,0.0,0.0,21.0
46f230a4,0.0,523,0.0,0.0,0.0,21.0
46f230c4,0.0,523,0.0,0.0,0.0,21.0
46f23a7c,0.0,523,0.0,0.0,0.0,
46f23a84,0.0,523,0.0,0.0,0.0,
46f2309c,0.0,523,0.0,0.0,0.0,
46f23a74,0.0,523,0.0,0.0,0.0,
46f23084,0.0,523,0.0,0.0,0.0,
46f23a94,0.0,523,0.0,0.0,0.0,
46f23a8c,0.0,523,0.0,0.0,0.0,
46f23ac4,0.0,523,0.0,0.0,0.0,
46f23ae4,0.0,523,0.0,0.0,0.0,
46f23ad4,0.0,523,0.0,0.0,0.0,
46f23adc,0.0,523,0.0,0.0,0.0,
46f23aec,0.0,523,0.0,0.0,0.0,
46f237a4,3.873030686865048,243,-8.0,585.0,0.2297307848930359,3.0
46f2379c,7.083201447311713,211,-9.0,586.0,0.1350555568933487,2.0
46f23774,3.1272962214995403,243,-8.0,584.0,0.4848398566246033,2.0
46f2370c,4.111540062086923,211,-8.0,585.0,0.4039154052734375,1.0
46f23794,1.0636378624001328,243,-8.0,560.0,0.05551932007074356,3.0
46f237ec,2.4814492372833947,243,-8.0,569.0,0.13593274354934692,2.0
46f237bc,1.4859906666132867,311,-8.0,560.0,0.029778398573398587,3.0
46f237c4,0.0,523,-8.0,557.0,0.0012218785705044866,21.0
46f2377c,8.592716849580102,231,-8.0,587.0,1.4690924882888794,2.0
46f23764,4.563184414591109,231,-8.0,582.0,2.132773399353028,0.0
46f239d4,7.714941774095807,231,-9.0,586.0,2.502346992492676,2.0
46f23784,7.1939731228108315,211,-9.0,580.0,0.3809378743171692,2.0
46f23824,9.858824126574456,211,-9.0,584.0,0.3176673650741577,2.0
46f2382c,7.756361484527588,231,-9.0,580.0,1.968721389770508,3.0
46f2378c,8.382526183614926,211,-9.0,580.0,0.3809378743171692,2.0
46f236fc,0.6134374591769004,311,-8.0,567.0,0.0007375606219284236,3.0
46f237ac,2.3224624900945594,243,-8.0,587.0,0.06455749273300171,1.0
46f2371c,0.349229206844252,311,-8.0,569.0,0.03227333724498749,12.0
46f23704,2.443808581147875,311,-8.0,579.0,0.03273671120405197,1.0
46f23654,0.0,523,-8.0,567.0,0.006279435008764267,21.0
46f236e4,0.0,523,0.0,0.0,0.0,21.0
46f237b4,5.323651571663058,243,-8.0,578.0,0.05996803939342499,2.0
46f2364c,3.900284908255753,243,-8.0,578.0,0.05197559669613838,2.0
46f23714,0.40804843878259467,321,-8.0,577.0,0.16294719278812408,2.0
46f2373c,0.0,523,-8.0,567.0,0.0,21.0
46f2376c,2.745437511490012,211,-8.0,579.0,0.4354618191719055,2.0
46f23804,2.7526668308644884,312,-9.0,568.0,0.20647163689136505,2.0
46f247fc,2.758711167744228,312,-9.0,575.0,0.16263598203659058,12.0
46f2380c,4.442373835310644,312,-9.0,576.0,0.23845888674259186,0.0
46f237fc,0.11154640184677377,331,0.0,0.0,0.0027380227111279964,12.0
46f24804,0.5385299123139405,523,-8.0,567.0,0.045843113213777535,2.0
46f247e4,8.04099450792585,231,-9.0,587.0,0.15763726830482486,2.0
46f247ec,3.7279501399215382,243,-9.0,569.0,0.06337330490350722,2.0
46f247f4,7.5588272055801085,231,-9.0,584.0,0.34503504633903503,2.0
46f2480c,4.0146472417578405,312,-9.0,582.0,0.1093863695859909,2.0
46f23814,6.831879815276787,312,-9.0,576.0,0.17063328623771667,12.0
46f23874,8.668328421456474,312,-9.0,585.0,0.23460708558559415,2.0
46f2386c,8.869285739198023,312,-9.0,576.0,0.18606390058994293,2.0
46f2478c,10.3751217394459,312,-9.0,585.0,0.3065930008888245,2.0
46f237e4,2.8776142499884783,243,-8.0,579.0,0.07203695178031921,12.0
46f237dc,2.599013493985546,243,-8.0,579.0,0.0,12.0
46f2481c,0.3027989815692512,523,-8.0,557.0,0.00261145643889904,2.0
46f24814,0.2874348601516412,523,-8.0,560.0,0.012557564303278923,2.0
46f2381c,8.450741553793149,231,-9.0,586.0,0.2618989050388336,2.0
46f237f4,10.208037429926346,231,-9.0,579.0,0.2323710173368454,2.0
46f239fc,0.0,523,0.0,0.0,0.0,21.0
46f23a1c,0.0,523,0.0,0.0,0.0,21.0
46f239f4,0.0,523,0.0,0.0,0.0,21.0
46f23754,0.0,523,0.0,0.0,0.0,21.0
46f23a04,0.0,523,0.0,0.0,0.0,21.0
46f239dc,3.3970862310759875,331,-8.0,578.0,1.7420159578323364,2.0
46f239c4,5.220515416592968,231,-8.0,578.0,1.6269428730010986,2.0
46f239ec,0.16360547591228874,321,-8.0,570.0,0.10192973911762238,21.0
46f239e4,1.8505372849806232,231,-8.0,573.0,1.231109857559204,2.0
46f23a24,0.0,523,0.0,0.0,0.0,21.0
46f23a3c,0.0,523,0.0,0.0,0.0,
46f23a14,0.0,523,0.0,0.0,0.0,21.0
46f2398c,0.0,523,0.0,0.0,0.0,21.0
46f23994,0.1813601900120171,231,-8.0,572.0,0.9362809658050536,2.0
46f23984,0.0,523,0.0,0.0,0.0,21.0
46f230b4,0.0,523,0.0,0.0,0.0,21.0
46f230ac,0.0,523,0.0,0.0,0.0,21.0
46f230cc,0.0,523,0.0,0.0,0.0,21.0
46f2374c,0.0,523,0.0,0.0,0.0,21.0
46f2375c,0.0,523,-8.0,567.0,0.0743895098567009,21.0
46f23744,0.0,523,0.0,0.0,0.0,21.0
46f23a0c,0.0,523,0.0,0.0,0.0,21.0
46f23854,7.176342005632361,242,-9.0,573.0,0.6611717939376831,2.0
46f239ac,3.26564488483935,243,-9.0,568.0,0.7218104600906372,0.0
46f2384c,6.252759957800107,242,-9.0,581.0,0.6863473653793335,2.0
46f239b4,3.85083531360237,243,-9.0,578.0,1.3082749843597412,2.0
46f2385c,9.432144534831146,231,-9.0,579.0,0.6177750825881958,2.0
46f23864,10.336085893669908,231,-9.0,579.0,1.0887565612792969,2.0
46f238f4,10.131146372581014,231,-9.0,575.0,1.1181814670562744,2.0
46f23844,7.7091602597917825,242,-9.0,579.0,0.9488947987556458,2.0
46f23904,2.9896185422430235,321,-9.0,567.0,0.6692553162574768,0.0
46f2391c,4.2815424228201096,231,-9.0,569.0,0.8669624924659729,2.0
46f23914,2.063466415531477,312,-9.0,568.0,0.36370941996574396,0.0
46f2390c,3.869121103870625,312,-9.0,576.0,0.28144997358322144,0.0
46f238e4,7.266732644061652,231,-9.0,571.0,1.937278389930725,2.0
46f238ec,11.205263546534947,231,-9.0,577.0,2.8159334659576416,2.0
46f238fc,7.672916879459303,231,-9.0,579.0,1.21780526638031,12.0
46f239cc,6.216590020121361,243,-9.0,579.0,2.7661283016204834,0.0
